category,audio,window,time,start_time,end_time,aasist_score,old_prosody_score,new_v2_prosody_score
SYNTHETIC,synthetic_cloned.ogg,#18,17.0-19.0s,17.0,19.0,0.9999330043792725,0.007263854414001569,0.40219697755497474
SYNTHETIC,synthetic_cloned.ogg,#19,18.0-20.0s,18.0,20.0,0.9999799728393555,0.6634776152416346,0.522913524131706
SYNTHETIC,synthetic_cloned.ogg,#20,19.0-21.0s,19.0,21.0,0.9986892342567444,0.9702688950554957,0.522913524131706
SYNTHETIC,synthetic_cloned.ogg,#21,20.0-22.0s,20.0,22.0,0.9616014361381531,0.002327774940780958,0.4845024173554614
SYNTHETIC,synthetic_cloned.ogg,#22,21.0-23.0s,21.0,23.0,0.9964392781257629,0.0028199101580459462,0.4268595190906689
SYNTHETIC,synthetic_cloned.ogg,#23,22.0-24.0s,22.0,24.0,0.9995110034942627,0.0028199101580459462,0.40219697755497474
SYNTHETIC,synthetic_cloned.ogg,#24,23.0-25.0s,23.0,25.0,0.9999349117279053,0.002323414511052113,0.40219697755497474
SYNTHETIC,synthetic_cloned.ogg,#25,24.0-26.0s,24.0,26.0,0.9997262358665466,0.002323414511052113,0.4268595190906689
SYNTHETIC,synthetic_cloned.ogg,#26,25.0-27.0s,25.0,27.0,0.9995343685150146,0.8085976704603816,0.5488147751188678
SYNTHETIC,synthetic_cloned.ogg,#27,26.0-28.0s,26.0,28.0,0.44870853424072266,0.1254964903392961,0.5216357260444444
SYNTHETIC,synthetic_cloned.ogg,#28,27.0-29.0s,27.0,29.0,0.9990367889404297,0.002451585944385437,0.40219697755497474
SYNTHETIC,synthetic_cloned.ogg,#29,28.0-30.0s,28.0,30.0,0.9987590312957764,0.06213729218362518,0.5366252900601446
SYNTHETIC,synthetic_cloned.ogg,#30,29.0-31.0s,29.0,31.0,0.999661922454834,0.07919437535847451,0.5401356405825176
SYNTHETIC,synthetic_cloned.ogg,#31,30.0-32.0s,30.0,32.0,0.9719099402427673,0.009853220274617547,0.49544893492895964
SYNTHETIC,synthetic_cloned.ogg,#32,31.0-33.0s,31.0,33.0,0.9975341558456421,0.01520584712308004,0.5409961284930719
SYNTHETIC,synthetic_cloned.ogg,#33,32.0-34.0s,32.0,34.0,0.9401805996894836,0.008039456774983855,0.5097840895265322
